,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Number of Dependents,Zip Code,Latitude,Longitude,Population,Churn,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Referred a Friend_No,Referred a Friend_Yes,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Under 30_No,Under 30_Yes,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes
15,0,16,9.43,10,98.228,1511.2,0.0,151.0,150.88,0,68,0,91764,34.074087,-117.605618,49474,1,3810,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
16,0,8,1.78,8,77.48,606.55,0.0,0.0,14.24,1,66,0,91901,32.827184,-116.703729,16486,1,4345,5,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
17,0,24,30.87,16,79.144,1712.7,0.0,0.0,740.88,1,69,0,92122,32.85723,-117.209774,34902,1,2018,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
18,0,4,31.61,2,99.268,396.1,0.0,8.0,126.44,0,74,0,92122,32.85723,-117.209774,34902,1,3677,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
19,2,32,47.34,11,77.896,2303.35,0.0,253.0,1514.88,1,76,0,92122,32.85723,-117.209774,34902,1,4105,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
20,1,24,16.1,13,96.876,2231.05,0.0,0.0,386.4,1,77,0,92122,32.85723,-117.209774,34902,1,2212,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
21,0,54,12.08,6,85.748,4350.1,0.0,0.0,652.32,0,70,0,92122,32.85723,-117.209774,34902,1,4149,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0
22,0,2,13.17,11,73.164,139.05,0.0,15.0,26.34,0,74,0,92122,32.85723,-117.209774,34902,1,2671,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
23,0,21,0.0,9,43.576,840.1,0.0,0.0,0.0,0,77,0,92122,32.85723,-117.209774,34902,1,4778,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
24,0,27,0.0,14,31.98,805.1,0.0,113.0,0.0,1,71,0,92122,32.85723,-117.209774,34902,1,2927,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
25,1,11,29.54,0,19.95,214.75,0.0,0.0,324.94,1,79,0,92122,32.85723,-117.209774,34902,1,5888,2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0
26,2,55,42.82,30,88.868,4874.7,0.0,0.0,2355.1,0,66,0,92122,32.85723,-117.209774,34902,1,5502,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
27,0,3,9.22,15,84.604,233.7,0.0,3.51,27.66,1,77,0,92122,32.85723,-117.209774,34902,1,2818,1,3,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
28,0,1,35.09,19,78.312,75.3,0.0,0.0,35.09,0,80,0,92274,33.53604,-116.119222,17018,1,4902,7,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
29,0,5,0.0,29,29.588,131.05,0.0,38.0,0.0,0,77,0,92509,34.004379,-117.447864,63999,1,4099,4,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
30,0,20,48.73,13,97.864,1782.4,0.0,232.0,974.6,0,77,0,92544,33.644585,-116.871544,39264,1,2666,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
31,4,5,45.76,24,77.324,334.8,0.0,80.0,228.8,0,72,0,92557,33.970661,-117.255039,46214,1,5273,4,2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
32,2,27,7.02,28,78.208,1929.35,0.0,0.0,189.54,0,80,0,92571,33.828289,-117.201666,26357,1,4517,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
33,0,4,48.35,26,92.768,346.2,0.0,0.0,193.4,0,74,0,92807,33.848733,-117.788357,36301,1,5808,2,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
34,0,1,45.81,23,89.128,85.7,0.0,0.0,45.81,0,68,0,92823,33.924143,-117.79387,1408,1,4880,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
35,3,65,18.39,31,109.46,6786.4,0.0,0.0,1195.35,0,78,0,92887,33.884073,-117.732197,20893,1,4196,5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
36,3,49,22.92,15,93.652,4547.25,0.0,0.0,1123.08,1,75,0,93067,34.420998,-119.60137,576,1,5059,5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0
37,1,43,14.52,6,115.18,4687.9,0.0,0.0,624.36,1,77,0,93101,34.419203,-119.710008,31727,1,2728,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
38,0,56,48.8,13,108.732,5794.65,0.0,753.0,2732.8,1,80,0,93201,35.869626,-119.498771,1054,1,6268,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0
39,7,20,5.31,11,98.332,1899.65,0.0,209.0,106.2,1,75,0,93208,36.057458,-118.591951,191,1,5604,2,3,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
40,0,2,47.47,21,93.08,161.5,0.0,34.0,94.94,0,69,0,93215,35.772244,-119.209689,37280,1,2065,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
41,0,8,27.95,0,19.65,164.3,0.0,0.0,223.6,0,74,0,93224,35.215731,-119.57013,626,1,5432,6,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
42,0,52,0.0,20,51.116,2550.9,0.0,0.0,0.0,1,76,0,92592,33.507255,-117.029473,46171,1,5597,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
43,0,2,43.99,30,51.22,91.1,0.0,27.0,87.98,1,69,0,92129,32.961064,-117.134917,47224,1,3475,5,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
44,1,33,27.78,9,98.28,3105.55,0.0,279.0,916.74,1,72,0,92129,32.961064,-117.134917,47224,1,4333,2,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
45,0,30,45.88,21,95.368,2758.15,0.0,579.0,1376.4,0,69,0,92129,32.961064,-117.134917,47224,1,2482,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
46,0,20,44.44,14,102.492,1842.8,0.0,258.0,888.8,1,73,0,92129,32.961064,-117.134917,47224,1,5444,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
47,0,46,2.37,22,114.4,4874.8,0.0,1072.0,109.02,0,65,0,93606,36.798882,-120.019511,807,1,2403,4,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0
48,1,7,21.91,12,99.424,644.35,0.0,77.0,153.37,1,74,0,93662,36.545322,-119.642281,26213,1,3265,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
49,0,4,36.93,20,82.004,292.8,0.0,59.0,147.72,0,65,0,93675,36.719141,-119.202677,3146,1,5301,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
50,0,55,37.38,8,104.0,5509.3,0.0,441.0,2055.9,0,66,0,93706,36.654614,-119.903674,35790,1,5679,6,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0
51,1,20,5.37,26,76.596,1463.5,0.0,0.0,107.4,1,71,0,93928,35.930782,-121.189757,254,1,5849,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
52,0,9,48.71,16,104.52,918.6,0.0,147.0,438.39,1,65,0,94102,37.7795,-122.419233,28998,1,4038,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
53,0,10,5.46,26,75.764,688.65,0.0,179.0,54.6,1,69,0,94108,37.791998,-122.408653,13723,1,3189,5,4,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
54,0,1,36.92,7,76.492,73.55,0.0,0.0,36.92,1,75,0,94114,37.758085,-122.434801,30587,1,4369,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
55,0,3,41.9,12,82.576,205.05,0.0,25.0,125.7,0,75,0,94130,37.820894,-122.369725,1458,1,3501,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
56,0,4,6.68,19,87.984,360.1,0.0,6.84,26.72,0,68,0,94304,37.386978,-122.177746,1723,1,2467,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
57,0,35,20.83,21,103.012,3395.8,0.0,0.0,729.05,1,71,0,94512,38.140719,-121.838298,138,1,2074,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
58,0,2,26.62,12,46.748,85.15,0.0,10.0,53.24,1,80,0,94514,37.83323,-121.601461,10153,1,5900,5,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
59,0,8,11.57,30,104.312,832.35,0.0,250.0,92.56,1,66,0,94539,37.516791,-121.899117,46917,1,5084,2,5,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
60,2,44,0.0,31,31.564,1359.7,0.0,422.0,0.0,1,73,0,94550,37.571748,-121.659562,75929,1,4829,4,4,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
61,1,62,7.11,18,107.9,6383.35,0.0,1149.0,440.82,1,77,0,94558,38.489789,-122.27011,63947,1,5052,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0
62,1,33,33.19,16,83.824,2656.5,0.0,0.0,1095.27,0,76,0,94566,37.633361,-121.862395,36669,1,3601,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
63,0,4,49.5,25,98.072,424.45,0.0,106.0,198.0,0,65,0,94583,37.766556,-121.976784,44078,1,5419,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
64,1,27,10.6,25,78.52,1893.95,0.0,473.0,286.2,1,75,0,94588,37.685052,-121.912061,28568,1,2377,1,3,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
65,0,8,40.45,32,104.624,819.4,0.0,0.0,323.6,1,75,0,94704,37.871416,-122.246597,21205,1,5906,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
66,1,3,25.77,2,91.832,273.75,0.0,5.0,77.31,0,68,0,94707,37.897753,-122.279391,11889,1,4486,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
67,0,8,42.93,10,95.784,729.95,0.0,0.0,343.44,0,71,0,94710,37.872902,-122.303708,8157,1,5662,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
68,0,14,11.31,26,94.068,1266.1,0.0,329.0,158.34,1,74,0,94904,37.946617,-122.563571,12010,1,4777,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
69,0,12,0.0,11,45.396,526.95,0.0,58.0,0.0,1,77,0,94933,38.010092,-122.689442,1025,1,2437,2,4,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
70,0,13,40.37,23,77.272,940.35,0.0,216.0,524.81,0,73,0,95019,36.936228,-121.785559,4753,1,2995,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
71,0,11,3.96,30,93.288,1047.7,0.0,314.0,43.56,0,68,0,95020,37.03889,-121.528955,49968,1,2202,4,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
72,1,17,28.18,18,104.468,1622.45,0.0,0.0,479.06,1,74,0,95030,37.222842,-121.988727,13290,1,5508,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
73,1,39,33.25,29,109.876,4284.8,0.0,1243.0,1296.75,1,65,0,95128,37.316146,-121.936285,32804,1,4687,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
74,5,11,17.25,30,108.212,1133.65,0.0,340.0,189.75,0,73,0,95135,37.28682,-121.723877,15798,1,4553,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
75,1,3,3.29,10,83.616,224.05,0.0,0.0,9.87,0,74,0,95232,38.358464,-120.579304,21,1,3834,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
76,0,21,34.62,15,62.452,1236.15,0.0,185.0,727.02,1,80,0,95310,38.085839,-120.37855,2144,1,4716,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
